手动输入主题分类：
| 手动输入主题内容                   | 可加入的职业/角色                                | 主题模板           | 关键词                                      |
| -------------------------- | ---------------------------------------- | -------------- | ---------------------------------------- |
| 高血压患者复诊后的用药和生活习惯随访沟通       | 全科医生、慢病管理护士、患者本人、家属、健康管理师                | 医疗健康｜慢病随访      | 高血压、复诊、用药、生活习惯、随访                        |
| 运营岗位离职后紧急补岗的招聘进度沟通         | HRBP、招聘专员、用人部门负责人、运营经理、候选人               | 人力资源与招聘｜招聘补岗   | 运营岗、离职、补岗、招聘进度、面试                        |
| 某艺人下季度品牌代言和商务合作机会讨论        | 经纪人、商务负责人、品牌市场经理、艺人统筹、法务                 | 娱乐/媒体｜艺人商业化    | 艺人、品牌代言、商务合作、档期、报价                       |
| 工程项目临近交付前的进度风险和验收安排讨论      | 项目经理、工程总监、施工负责人、监理、甲方代表                  | 建筑与工程行业｜项目交付   | 工程交付、进度风险、验收、延期、现场协调                     |
| 新能源车型上市前的区域投放和销售策略讨论       | 产品经理、区域销售经理、市场经理、经销商负责人、运营分析师            | 汽车行业｜车型投放      | 新能源车、上市、区域投放、销售策略、渠道                     |
| 面向制造业客户的新咨询项目拓展沟通          | 咨询顾问、客户经理、合伙人、行业专家、售前顾问                  | 咨询/专业服务｜客户拓展   | 制造业客户、咨询项目、客户拓展、需求诊断、商机                  |
| 企业年度法律顾问专项服务内容和交付安排讨论      | 法务经理、外部律师、企业负责人、合同专员、合规顾问                | 法律服务｜法顾专项      | 法律顾问、专项服务、合同审查、合规、交付                     |
| 中高净值客户年度资产配置方案沟通           | 理财顾问、投资经理、私人银行顾问、客户本人、风控顾问               | 金融/投资｜资产配置     | 高净值客户、资产配置、风险偏好、收益目标、投资组合                |
| 提升老会员复购率的运营活动方案讨论          | 会员运营、门店店长、数据分析师、市场经理、客服主管                | 零售行业｜会员复购      | 会员运营、复购率、优惠券、用户分层、活动方案                   |
| 保险销售录音中的话术合规和质检问题复盘        | 质检专员、保险顾问、销售主管、合规经理、培训讲师                 | 保险行业｜保险质检      | 保险销售、录音质检、话术合规、风险提示、整改                   |
| 新楼盘库存去化压力和渠道促销策略讨论         | 项目营销总、置业顾问、渠道经理、策划经理、案场经理                | 房地产｜项目去化       | 楼盘去化、库存压力、渠道分销、促销、成交转化                   |
| AI 产品免费用户向付费会员转化方案讨论       | 产品经理、增长运营、数据分析师、用户研究员、客服负责人              | 人工智能/科技｜付费转化   | AI 产品、免费用户、付费会员、转化率、订阅                   |
| 生产线效率提升和瓶颈工序优化会议讨论         | 生产主管、工艺工程师、设备工程师、质量工程师、厂长                | 制造业｜产线提效       | 产线效率、瓶颈工序、良品率、设备稼动率、提效                   |
| 内容平台本周增长数据和商业化策略周会         | 内容运营、增长负责人、商业化负责人、数据分析师、产品经理             | 娱乐/媒体｜战略周会     | 内容平台、增长数据、商业化、战略周会、复盘                    |
| 新广告投放素材的合规风险审核讨论           | 法务、广告投放经理、品牌经理、合规专员、内容审核员                | 法律服务｜广告合规      | 广告素材、合规审核、宣传用语、监管要求、风险                   |
| 保险产品销售转化数据和客户异议洞察分析        | 销售经理、保险顾问、数据分析师、培训负责人、产品经理               | 保险行业｜销售洞察      | 保险产品、销售转化、客户异议、销售洞察、成交原因                 |
| 支付项目上线前的接入联调、下单回调和主流程验收讨论  | 测试负责人、测试工程师、后端开发、支付研发、第三方支付对接人、产品经理、项目经理 | 测试开发｜支付接入与交易链路 | 支付接入、第三方支付、下单、支付回调、状态同步、联调验收、签名校验        |
| 支付系统上线前的退款安全、对账差错和稳定性准入评估  | 测试负责人、测试工程师、风控工程师、财务对账专员、后端开发、SRE、架构师    | 测试开发｜支付风控与稳定性  | 退款安全、重复退款、越权、支付对账、金额不一致、压测、准入评估、资金安全     |
| 朋友圈动态发布、图文内容发布和多端分发一致性测试讨论 | 测试工程师、客户端开发、前端开发、小程序开发、后端开发、产品经理、内容运营    | 测试开发｜内容发布与多端分发 | 朋友圈、动态发布、图文发布、多端分发、App、Web、小程序、状态同步、发布失败 |
| 朋友圈点赞评论、互动计数和多端状态一致性测试讨论   | 测试工程师、客户端开发、后端开发、产品经理、数据工程师              | 测试开发｜社交互动一致性   | 点赞、评论、互动计数、多端展示、状态回显、重复点击、并发互动、数据一致      |
| 朋友圈隐私可见范围、内容审核和权限控制测试讨论    | 测试工程师、隐私合规专员、内容审核员、风控策略、算法工程师、后端开发、产品经理  | 测试开发｜隐私权限与内容审核 | 隐私可见、好友可见、分组可见、权限校验、敏感词、图片审核、违规内容、审核拦截   |




预置主题分类：
| 预置主题                | 预置主题内容                                                                                            |
| ----------------- | ------------------------------------------------------------------------------------------------- |
| 医疗健康｜慢病随访         | 围绕一名高血压或糖尿病患者复诊后的随访沟通，重点讨论近期血压血糖指标变化、用药依从性、饮食运动习惯、是否出现不适症状，以及医生或健康管理师后续需要调整的随访计划和生活干预建议。          |
| 人力资源与招聘｜招聘补岗      | 围绕某个关键岗位人员离职后的补岗招聘沟通，重点讨论岗位空缺带来的业务影响、HC 是否已审批、候选人筛选进度、面试安排、用人部门反馈、offer 沟通节奏，以及如何缩短到岗周期。          |
| 娱乐/媒体｜艺人商业化       | 围绕某位艺人下一阶段的商业合作机会展开讨论，重点包括品牌代言匹配度、艺人报价、档期协调、粉丝画像、商业价值评估、宣发资源配合、合作权益设计，以及品牌方对曝光和转化效果的预期。           |
| 建筑与工程行业｜项目交付      | 围绕工程项目临近交付前的进度和验收安排展开讨论，重点关注施工进度是否滞后、材料到货情况、现场质量问题、分包协同、成本风险、延期隐患，以及甲方验收标准和竣工交付计划。                |
| 汽车行业｜车型投放         | 围绕一款新车型上市前的市场投放计划展开讨论，重点包括目标用户画像、区域投放节奏、经销商铺货、竞品车型对比、价格策略、试驾转化、销售目标拆解，以及上市期间的市场推广资源安排。            |
| 咨询/专业服务｜客户拓展      | 围绕面向某个行业客户的新项目拓展沟通，重点讨论客户当前业务痛点、潜在咨询需求、决策链路、客户拜访计划、解决方案初步方向、项目报价策略，以及后续如何推动商机转化。                  |
| 法律服务｜法顾专项         | 围绕企业年度法律顾问专项服务的范围和交付安排展开讨论，重点包括合同审查、合规咨询、法律意见输出、争议处理支持、服务边界确认、客户重点风险，以及专项服务的交付节奏和责任分工。            |
| 金融/投资｜资产配置        | 围绕中高净值客户年度资产配置方案展开沟通，重点讨论客户风险偏好、收益目标、现有资产结构、股票债券基金比例、市场波动影响、流动性需求、资产再平衡策略，以及长期投资规划。               |
| 零售行业｜会员复购         | 围绕提升老会员复购率的运营方案展开讨论，重点分析会员消费频次、客单价变化、沉睡会员唤醒、优惠券和积分权益设计、用户分层运营、私域触达节奏，以及活动后的复购转化效果。                |
| 保险行业｜保险质检         | 围绕保险销售录音或回访内容的质检复盘展开讨论，重点检查销售话术是否合规、是否存在误导销售、风险提示是否充分、客户确认是否清晰、保单说明是否完整，以及后续整改和培训建议。              |
| 房地产｜项目去化          | 围绕某楼盘项目的库存去化压力和销售策略展开讨论，重点分析客户到访量、认购签约转化、竞品楼盘价格、渠道分销效果、促销政策设计、库存结构，以及如何提升短期成交效率。                  |
| 人工智能/科技｜付费转化      | 围绕 AI 产品免费用户向付费会员转化的增长方案展开讨论，重点分析用户使用频次、核心功能触达、免费试用路径、价格套餐设计、付费权益说明、转化漏斗数据、用户留存，以及客服或运营如何促进订阅转化。  |
| 制造业｜产线提效          | 围绕生产线效率提升和瓶颈工序优化展开讨论，重点关注设备稼动率、良品率、异常停机、工时浪费、排产计划、自动化改造机会、产能提升空间，以及降本增效的落地措施。                     |
| 娱乐/媒体｜战略周会        | 围绕内容平台或媒体团队的战略周会展开讨论，重点复盘本周平台增长数据、内容策略执行情况、商业化进展、重点项目推进、资源协调问题、潜在风险事项，以及下周核心目标和行动计划。              |
| 法律服务｜广告合规         | 围绕一批即将投放的广告素材进行合规审核讨论，重点检查宣传用语是否存在极限词或误导表达、资质信息是否完整、投放内容是否符合监管要求、潜在合规风险，以及需要修改的素材和文案方向。           |
| 保险行业｜销售洞察         | 围绕保险产品销售转化数据和客户反馈展开洞察分析，重点讨论销售线索质量、客户画像、成交和拒保原因、客户异议类型、产品匹配度、销售话术效果、渠道表现，以及后续培训和策略优化方向。           |
| 测试开发｜支付接入与交易链路    | 围绕支付项目上线前的接入联调和交易主链路验收展开讨论，重点覆盖第三方支付接口联调、参数签名、渠道配置、下单接口、订单创建、支付成功失败状态、支付回调、异步通知、幂等处理和主流程验收风险。     |
| 测试开发｜退款与资金安全      | 围绕退款流程和资金安全相关测试展开讨论，重点关注退款申请、审核流程、原路退回、重复退款、越权退款、金额校验、退款状态同步、退款回调、风控拦截、异常退款处理，以及资金安全风险。           |
| 测试开发｜对账与稳定性准入     | 围绕支付系统上线前的对账准确性和稳定性准入评估展开讨论，重点包括交易流水核对、渠道账单比对、金额不一致、漏单多单、差错处理、补偿机制、容量评估、性能基线、错误率、响应时间、熔断限流和发布门禁。  |
| 测试开发｜朋友圈内容发布与多端分发 | 围绕朋友圈或社交内容的发布和多端分发测试展开讨论，重点覆盖动态发布、文本图片视频上传、草稿保存、发布失败、内容校验、信息流展示、App/Web/小程序多端同步、消息分发、状态一致和端侧兼容问题。 |
